asset_id,filename,category,name,description,recommended_usage,preferred_zone,z_order,avoid_zones,dependencies,coordinate_system,status,notes
glow_core_01,atmospheric_glows/glow_core_01.svg,atmospheric_glows,Central computational bloom,Three deliberately offset luminous lobes forming the energy zone around the Python focal point. Offsetting prevents it reading as a plain circle.,cover background system,centre,50,,,cover_canvas_660x940,ready,Sits directly behind the hero logo. Warm lobe carries the only Python-yellow in the pack.
glow_upper_left_01,atmospheric_glows/glow_upper_left_01.svg,atmospheric_glows,Upper-left violet bloom,"Soft diffuse luminous mass (upper-left). Pure tonal light, no linework.",cover background system,upper-left,10,,,cover_canvas_660x940,ready,Screen blend. Safe to sit under typography — adds no edges.
glow_lower_right_01,atmospheric_glows/glow_lower_right_01.svg,atmospheric_glows,Lower-right blue bloom,"Soft diffuse luminous mass (lower-right). Pure tonal light, no linework.",cover background system,lower-right,11,,,cover_canvas_660x940,ready,Screen blend. Safe to sit under typography — adds no edges.
glow_cyan_mid_01,atmospheric_glows/glow_cyan_mid_01.svg,atmospheric_glows,Mid-field cyan diffusion,"Soft diffuse luminous mass (middle). Pure tonal light, no linework.",cover background system,middle,12,,,cover_canvas_660x940,ready,Screen blend. Safe to sit under typography — adds no edges.
glow_footer_01,atmospheric_glows/glow_footer_01.svg,atmospheric_glows,Footer grounding glow,"Soft diffuse luminous mass (lower). Pure tonal light, no linework.",cover background system,lower,13,,,cover_canvas_660x940,ready,Screen blend. Safe to sit under typography — adds no edges.
particles_halo_core_01,particle_fields/particles_halo_core_01.svg,particle_fields,Core halo point cloud,"Irregular data-point shell orbiting the focal zone, denser to the right. Never scatters inside the logo radius.",cover background system,centre,56,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Data-science point-cloud language. Keep with energy_ring assets.
particles_dispersal_lower_left_01,particle_fields/particles_dispersal_lower_left_01.svg,particle_fields,Lower-left dispersal stream,Particles escaping the core toward the lower left — the visual 'energy disperses' step of the density rhythm.,cover background system,lower-left,57,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Directional; do not mirror without redrawing.
particles_field_upper_01,particle_fields/particles_field_upper_01.svg,particle_fields,Upper quiet star field,Distributed light specks across the upper field. Sized for print: no sub-0.4pt dots that would vanish on press.,cover background system,upper,25,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Safe-zone filtered at generation time.
particles_field_mid_01,particle_fields/particles_field_mid_01.svg,particle_fields,Mid-field dust,Distributed light specks across the middle field. Sized for print: no sub-0.4pt dots that would vanish on press.,cover background system,middle,26,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Safe-zone filtered at generation time.
particles_footer_01,particle_fields/particles_footer_01.svg,particle_fields,Footer light specks,Distributed light specks across the lower field. Sized for print: no sub-0.4pt dots that would vanish on press.,cover background system,lower,27,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Safe-zone filtered at generation time.
particles_foreground_sharp_01,particle_fields/particles_foreground_sharp_01.svg,particle_fields,Foreground sharp specks,Crisp near-field highlights intended to sit IN FRONT of the hero logo. This is what stops the logo reading as pasted on.,cover background system,centre,70,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,"Z-order above the Python logo, below typography. Deliberate, hand-placed."
particles_bokeh_foreground_01,particle_fields/particles_bokeh_foreground_01.svg,particle_fields,Foreground bokeh discs,Out-of-focus foreground discs providing true depth separation.,cover background system,centre,71,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Keep very low opacity; these read as lens depth.
tech_trace_left_01,technical_accents/tech_trace_left_01.svg,technical_accents,Left signal trace,"Circuit-echo trace with terminal node. Elegant, secondary, deliberately low-contrast engineering hint.",cover background system,left edge,35,,,component_local,ready,Component-local viewBox — position manually in Figma. Keep opacity low; these must stay subordinate to the waves and the core.
tech_trace_right_01,technical_accents/tech_trace_right_01.svg,technical_accents,Right signal trace,"Two-segment trace pair, staggered for rhythm. Elegant, secondary, deliberately low-contrast engineering hint.",cover background system,right edge,35,,,component_local,ready,Component-local viewBox — position manually in Figma. Keep opacity low; these must stay subordinate to the waves and the core.
chip_accent_upper_01,technical_accents/chip_accent_upper_01.svg,technical_accents,Chip outline accent,"Chip-outline hint; the most literal motif in the pack — use sparingly. Elegant, secondary, deliberately low-contrast engineering hint.",cover background system,upper corners,35,,,component_local,ready,Component-local viewBox — position manually in Figma. Keep opacity low; these must stay subordinate to the waves and the core.
connector_fragment_lower_01,technical_accents/connector_fragment_lower_01.svg,technical_accents,Connector edge fragment,"Connector rail with alternating pin heights. Elegant, secondary, deliberately low-contrast engineering hint.",cover background system,lower edge,35,,,component_local,ready,Component-local viewBox — position manually in Figma. Keep opacity low; these must stay subordinate to the waves and the core.
signal_tick_row_01,technical_accents/signal_tick_row_01.svg,technical_accents,Measurement tick row,"Instrumentation tick row; every third tick is taller. Elegant, secondary, deliberately low-contrast engineering hint.",cover background system,any edge,35,,,component_local,ready,Component-local viewBox — position manually in Figma. Keep opacity low; these must stay subordinate to the waves and the core.
energy_ring_01,central_energy/energy_ring_01.svg,central_energy,Primary broken data ring,Broken orbital arc on a deliberately offset centre. Offsetting the centres is what keeps the core from reading as concentric rings or an atom mark.,cover background system,centre,52,,glow_core_01,cover_canvas_660x940,ready,Rotation -21 deg about its own centre. Do not re-centre on the logo.
energy_ring_02,central_energy/energy_ring_02.svg,central_energy,Secondary tilted ring,Broken orbital arc on a deliberately offset centre. Offsetting the centres is what keeps the core from reading as concentric rings or an atom mark.,cover background system,centre,52,,glow_core_01,cover_canvas_660x940,ready,Rotation 31 deg about its own centre. Do not re-centre on the logo.
energy_ring_03,central_energy/energy_ring_03.svg,central_energy,Outer sweep ring,Broken orbital arc on a deliberately offset centre. Offsetting the centres is what keeps the core from reading as concentric rings or an atom mark.,cover background system,centre,52,,glow_core_01,cover_canvas_660x940,ready,Rotation -6 deg about its own centre. Do not re-centre on the logo.
energy_arc_left_01,central_energy/energy_arc_left_01.svg,central_energy,Left energy arc,Supporting luminous arc sweeping to the left of the focal zone.,cover background system,centre,53,,glow_core_01,cover_canvas_660x940,ready,Pairs with energy_ring assets.
energy_arc_right_01,central_energy/energy_arc_right_01.svg,central_energy,Right wide arc,Supporting luminous arc sweeping to the right of the focal zone.,cover background system,centre,53,,glow_core_01,cover_canvas_660x940,ready,Pairs with energy_ring assets.
energy_tick_shell_01,central_energy/energy_tick_shell_01.svg,central_energy,Machined core tick shell,"132 radial micro-ticks forming an engineered perimeter just outside the logo edge. Gives the core a machined, instrument-grade quality rather than a drawn circle.",cover background system,centre,54,,glow_core_01,cover_canvas_660x940,ready,"Radius is tied to the 252pt logo. If the logo size changes, regenerate this asset."
energy_nodes_01,central_energy/energy_nodes_01.svg,central_energy,Luminous processing nodes,"Eight signal nodes riding the orbital shell, each with a soft halo. Reads as computation without any literal hardware.",cover background system,centre,55,,energy_ring_01,cover_canvas_660x940,ready,Asymmetric by design.
energy_streaks_01,central_energy/energy_streaks_01.svg,central_energy,Converging energy streaks,"Radial support lines converging on the focal zone and terminating clear of the logo edge, so nothing appears to pierce the hero.",cover background system,centre,51,,glow_core_01,cover_canvas_660x940,ready,Deliberately stops at 1.12x core radius.
energy_core_halo_01,central_energy/energy_core_halo_01.svg,central_energy,Hero depth halo,Tight radial halo placed immediately behind the Python logo to integrate it into the field and prevent a pasted-on look.,cover background system,centre,58,,,cover_canvas_660x940,ready,Direct z-neighbour of the logo: halo -> LOGO -> foreground particles.
data_nodes_cluster_01,data_science_motifs/data_nodes_cluster_01.svg,data_science_motifs,Upper-right topology cluster,"Graph-topology cluster: nodes plus sparse edges. Restrained ML/network language, never an infographic.",cover background system,mid-field,33,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Edge density 42%. Safe-zone filtered.
data_nodes_cluster_02,data_science_motifs/data_nodes_cluster_02.svg,data_science_motifs,Lower-left topology cluster,"Graph-topology cluster: nodes plus sparse edges. Restrained ML/network language, never an infographic.",cover background system,mid-field,33,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Edge density 42%. Safe-zone filtered.
data_nodes_cluster_03,data_science_motifs/data_nodes_cluster_03.svg,data_science_motifs,Right-field cluster,"Graph-topology cluster: nodes plus sparse edges. Restrained ML/network language, never an infographic.",cover background system,mid-field,33,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Edge density 42%. Safe-zone filtered.
topology_web_01,data_science_motifs/topology_web_01.svg,data_science_motifs,Distant topology web,Sparse far-field link web providing mid-ground structure behind the core.,cover background system,mid-field,31,,,cover_canvas_660x940,ready,Intentionally faint; belongs to the blurred depth tier.
graph_motif_01,data_science_motifs/graph_motif_01.svg,data_science_motifs,Luminous plot curve motif,"A single elegant analytic curve with two sample points — the GRAPH idea expressed as mathematics, with no panel, frame or label.",cover background system,mid-field,34,,,component_local,ready,Component-local. Replaces the banned GRAPH card.
stat_distribution_01,data_science_motifs/stat_distribution_01.svg,data_science_motifs,Statistical distribution motif,"A Gaussian point distribution rendered as light — a statistical hint with no axes, chrome or chart furniture.",cover background system,mid-field,34,,,component_local,ready,Component-local. Pairs well with data_nodes_cluster assets.
code_stream_01,data_science_motifs/code_stream_01.svg,data_science_motifs,Right code-glyph stream,Code fragments drifting along an invisible trajectory — the CODE idea as atmospheric texture rather than a terminal window.,cover background system,mid-field,36,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Uses live <text> with a monospace stack. Figma will substitute a font on import — see README 'Known import caveats'. Convert to outlines before print.
code_stream_02,data_science_motifs/code_stream_02.svg,data_science_motifs,Left code-glyph stream,Code fragments drifting along an invisible trajectory — the CODE idea as atmospheric texture rather than a terminal window.,cover background system,mid-field,36,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Uses live <text> with a monospace stack. Figma will substitute a font on import — see README 'Known import caveats'. Convert to outlines before print.
footer_wave_01,footer_atmosphere/footer_wave_01.svg,footer_atmosphere,Footer light sweep A,Low-amplitude sweep threading the narrow band between the author block and the footer rule.,cover background system,lower,45,author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,"OPTIONAL — not part of the approved baseline composition, which keeps the foot of the page tonally quiet. Provided for layouts that need lower-page movement. Safe-zone verified: sits entirely between the author and footer bands."
footer_wave_02,footer_atmosphere/footer_wave_02.svg,footer_atmosphere,Footer light sweep B,Low-amplitude sweep threading the narrow band between the author block and the footer rule.,cover background system,lower,45,author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,"OPTIONAL — not part of the approved baseline composition, which keeps the foot of the page tonally quiet. Provided for layouts that need lower-page movement. Safe-zone verified: sits entirely between the author and footer bands."
footer_grounding_gradient_01,footer_atmosphere/footer_grounding_gradient_01.svg,footer_atmosphere,Footer grounding gradient,Tonal weight at the foot of the page that anchors the composition and lifts contrast under the footer typography.,cover background system,lower,46,,,cover_canvas_660x940,ready,"Tonal only — intentionally allowed to pass under the footer text, which it helps."
footer_particles_01,footer_atmosphere/footer_particles_01.svg,footer_atmosphere,Footer particle band,Restrained speck band grounding the lower page without touching the author or footer text.,cover background system,lower,47,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,"OPTIONAL — pairs with the footer_wave assets; omitted from the approved baseline, which keeps the foot of the page quiet. Safe-zone filtered."
guide_title_safe_area,guides/guide_title_safe_area.svg,guides,Title safe area,Utility guide marking the title safe area. Non-printing layout aid.,layout guide only,title,900,,,cover_canvas_660x940,ready,UTILITY ONLY — never composite into a production cover.
guide_subtitle_safe_area,guides/guide_subtitle_safe_area.svg,guides,Subtitle safe area,Utility guide marking the subtitle safe area. Non-printing layout aid.,layout guide only,subtitle,900,,,cover_canvas_660x940,ready,UTILITY ONLY — never composite into a production cover.
guide_author_safe_area,guides/guide_author_safe_area.svg,guides,Author safe area,Utility guide marking the author safe area. Non-printing layout aid.,layout guide only,author,900,,,cover_canvas_660x940,ready,UTILITY ONLY — never composite into a production cover.
guide_footer_safe_area,guides/guide_footer_safe_area.svg,guides,Footer safe area,Utility guide marking the footer safe area. Non-printing layout aid.,layout guide only,footer,900,,,cover_canvas_660x940,ready,UTILITY ONLY — never composite into a production cover.
guide_lockup_safe_area,guides/guide_lockup_safe_area.svg,guides,Lockup safe area,Utility guide marking the lockup safe area. Non-printing layout aid.,layout guide only,lockup,900,,,cover_canvas_660x940,ready,UTILITY ONLY — never composite into a production cover.
guide_hero_safe_area,guides/guide_hero_safe_area.svg,guides,Hero safe area,Marks the focal zone and the 252pt Python logo footprint. Placeholder guide only — the actual Python logo is NOT redrawn anywhere in this pack.,layout guide only,centre,900,,,cover_canvas_660x940,ready,UTILITY ONLY. The real logo stays the approved Figma master (node 103:52).
guide_cover_grid,guides/guide_cover_grid.svg,guides,Cover margin + column grid,60pt margin box and 6-column reference grid on the 660x940 cover canvas.,layout guide only,full,901,,,cover_canvas_660x940,ready,UTILITY ONLY.
